"Area","Roundness","R","G","B"
2.176500000000000000e+03,8.559831665753709906e-01,1.579026229508196764e+02,1.087068852459016455e+02,9.551540983606557234e+01
2.175000000000000000e+03,8.610273123574210263e-01,1.772826797385620807e+02,1.233581699346405287e+02,1.055973856209150341e+02
2.375000000000000000e+03,8.598197413693520197e-01,1.777621700879765285e+02,1.280193548387096882e+02,1.103621700879765370e+02
2.582500000000000000e+03,8.442003903606742909e-01,1.623709766925638291e+02,1.148637624861265323e+02,1.004642064372918924e+02
2.499000000000000000e+03,8.388859778034687409e-01,1.699449013157894797e+02,1.205457785087719316e+02,1.040520833333333286e+02
2.428000000000000000e+03,8.174524011949060309e-01,1.434759923175416247e+02,9.548623559539052508e+01,8.284186939820742168e+01
2.188500000000000000e+03,8.720968560463038255e-01,1.598827160493827080e+02,1.091929824561403564e+02,9.732423651721897784e+01
2.280500000000000000e+03,8.503265435278504203e-01,1.639553124999999909e+02,1.134415625000000034e+02,1.002409375000000011e+02
2.134000000000000000e+03,8.854908191707984155e-01,1.606360398860398959e+02,1.044754273504273527e+02,8.797364672364672344e+01
2.218000000000000000e+03,8.573107185180552925e-01,1.711507263922518121e+02,1.221095641646489156e+02,1.088392857142857082e+02
1.952500000000000000e+03,8.927451414995980494e-01,1.598078431372549062e+02,1.051952941176470517e+02,8.979686274509803923e+01
2.282500000000000000e+03,8.779159752632779146e-01,1.586899744572158397e+02,1.079086845466155751e+02,9.094731800766282959e+01
2.013500000000000000e+03,8.594575965943894724e-01,1.569132075471698045e+02,1.053986277873070350e+02,9.281509433962264666e+01
2.354500000000000000e+03,8.700487229689743973e-01,1.595946439440048721e+02,1.106290322580645125e+02,9.712111990261716699e+01
2.503500000000000000e+03,8.382926781818663686e-01,1.645883620689655231e+02,1.181185344827586192e+02,1.035595366379310320e+02
1.957500000000000000e+03,8.810131103115156348e-01,1.593131725417439668e+02,1.056326530612244881e+02,9.235213358070501499e+01
2.351000000000000000e+03,8.241124848754318721e-01,1.496654064272211713e+02,9.904158790170131965e+01,8.588972904851921442e+01
2.030000000000000000e+03,8.187831817663812073e-01,1.711048999309868748e+02,1.177018633540372718e+02,1.047684610075914406e+02
2.011500000000000000e+03,8.103982145848546148e-01,1.562527716186252746e+02,9.973688100517368582e+01,8.272579453067257305e+01
2.239000000000000000e+03,8.588771594518631591e-01,1.594774603174603271e+02,1.094698412698412682e+02,9.418825396825397434e+01
2.278500000000000000e+03,8.651262250521406516e-01,1.493967532467532351e+02,9.870324675324675923e+01,8.605584415584415581e+01
2.212500000000000000e+03,8.588464553994069606e-01,1.708229508196721440e+02,1.212370491803278725e+02,1.060157377049180383e+02
2.552000000000000000e+03,8.126536997865589917e-01,1.698115068493150659e+02,1.213252054794520518e+02,1.089843835616438383e+02
2.236000000000000000e+03,7.597732483271267823e-01,1.758657635467980356e+02,1.252075123152709324e+02,1.118512931034482705e+02
1.978000000000000000e+03,8.647615755692499295e-01,1.485222703981079917e+02,9.507765076862436615e+01,8.295900670082774297e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.603810532687651289e+02,1.031122881355932179e+02,8.240466101694914869e+01
2.875500000000000000e+03,8.718662846258502519e-01,1.482400731452455602e+02,9.474843260188087868e+01,6.889289446185998145e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.544115138592750611e+02,9.319677124581176031e+01,7.064544623819676872e+01
2.458500000000000000e+03,8.564873021598918834e-01,1.589087878787878765e+02,1.012284848484848538e+02,7.265878787878787648e+01
2.458500000000000000e+03,8.564873021598918834e-01,1.586912121212121178e+02,1.010136363636363654e+02,7.258939393939394336e+01
2.855000000000000000e+03,8.566133358417427068e-01,1.522785714285714391e+02,9.394821428571428612e+01,7.292525510204082195e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.604921307506053267e+02,1.030178571428571388e+02,8.222699757869249026e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.606074455205811091e+02,1.032935835351089651e+02,8.265496368038741082e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.549086201644836933e+02,9.357447456594577773e+01,7.070088333840999439e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.607460653753026634e+02,1.033305084745762770e+02,8.251846246973366306e+01
2.458500000000000000e+03,8.564873021598918834e-01,1.591787878787878867e+02,1.013021212121212073e+02,7.240969696969696656e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.547039293329272027e+02,9.357843435881815708e+01,7.103381053914102949e+01
2.855000000000000000e+03,8.566133358417427068e-01,1.522785714285714391e+02,9.394821428571428612e+01,7.292525510204082195e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.548946085897045464e+02,9.368473956746878173e+01,7.098263783125190685e+01
2.832500000000000000e+03,8.066185165542361091e-01,1.157606752730883812e+02,7.074528301886792292e+01,6.832745779543198239e+01
