"Area","Roundness","R","G","B"
1.435500000000000000e+03,8.725806199758973092e-01,1.720419753086419803e+02,1.106553086419753100e+02,9.244444444444444287e+01
1.675000000000000000e+03,8.700525612532538089e-01,1.698953279424977438e+02,1.128769092542677441e+02,9.737331536388140307e+01
1.292500000000000000e+03,8.573409225840810111e-01,1.684500587544065695e+02,1.029618096357226733e+02,8.467920094007050125e+01
1.397000000000000000e+03,8.927974102645925836e-01,1.671884057971014386e+02,1.046276477146042367e+02,8.695094760312152005e+01
1.757500000000000000e+03,8.778961154082050022e-01,1.696445833333333439e+02,1.117108333333333263e+02,9.157083333333333997e+01
1.427500000000000000e+03,8.677177534068918341e-01,1.661456790123456813e+02,1.083708641975308637e+02,9.564395061728394865e+01
1.616000000000000000e+03,8.652798814305941999e-01,1.671925133689839527e+02,1.107201426024955424e+02,9.195098039215686470e+01
1.527000000000000000e+03,8.620546233633336053e-01,1.751493023255814023e+02,1.149483720930232522e+02,9.569534883720930907e+01
1.549000000000000000e+03,8.744745328027528908e-01,1.586322849213690915e+02,1.003607770582793677e+02,8.678353376503237371e+01
1.672000000000000000e+03,8.593161601308411113e-01,1.676618736383442183e+02,1.122252723311546845e+02,9.731285403050108584e+01
1.421500000000000000e+03,8.682097529241833422e-01,1.778138969873663768e+02,1.181457725947521880e+02,1.034577259475218654e+02
1.607500000000000000e+03,8.784873911790224144e-01,1.553527696793002804e+02,9.496501457725948114e+01,7.817395529640427299e+01
1.178000000000000000e+03,8.775170200423461075e-01,1.682124542124542188e+02,1.024566544566544621e+02,8.609096459096458887e+01
1.437000000000000000e+03,8.525252258886920620e-01,1.797048611111111143e+02,1.202981150793650755e+02,1.036676587301587347e+02
1.061000000000000000e+03,8.805114910811693285e-01,1.771183310533515680e+02,1.101894664842681237e+02,9.399589603283173744e+01
1.739000000000000000e+03,8.751071399125552874e-01,1.707123689727463329e+02,1.162884696016771500e+02,1.014725366876310204e+02
1.631000000000000000e+03,8.788707698635890297e-01,1.655714285714285836e+02,1.054967532467532436e+02,8.674953617810760420e+01
1.729500000000000000e+03,8.995238553438865692e-01,1.627604255319149047e+02,1.060663829787234107e+02,8.685829787234042954e+01
1.507500000000000000e+03,8.772197381551697370e-01,1.801967930029154559e+02,1.195087463556851333e+02,1.006758989310009724e+02
1.597000000000000000e+03,8.739072656542734574e-01,1.659458333333333258e+02,1.081388888888888857e+02,9.299907407407407334e+01
1.698000000000000000e+03,8.581980043579305883e-01,1.749436274509803866e+02,1.193231209150326748e+02,1.010661764705882320e+02
1.610500000000000000e+03,8.824648753023776049e-01,1.723962765957446948e+02,1.140124113475177268e+02,9.558156028368794921e+01
1.090000000000000000e+03,8.596919902837076854e-01,1.774425133689839527e+02,1.070086898395721988e+02,9.220254010695187219e+01
1.578000000000000000e+03,8.786788030221793777e-01,1.775734999999999957e+02,1.157950000000000017e+02,9.700000000000000000e+01
1.402000000000000000e+03,8.854991657675044259e-01,1.634571740316421256e+02,1.015521003818876125e+02,8.466666666666667140e+01
1.723000000000000000e+03,8.332721088759060812e-01,1.779862155388471194e+02,1.231867167919799471e+02,1.077685881370091892e+02
1.567000000000000000e+03,8.669435495227364452e-01,1.717133333333333383e+02,1.105114285714285671e+02,8.979476190476189856e+01
1.459500000000000000e+03,8.646790832353609124e-01,1.724385138670853053e+02,1.069759288330716913e+02,8.642857142857143060e+01
1.904000000000000000e+03,8.131123053140107970e-01,1.593860465116279101e+02,1.040089147286821714e+02,8.614224806201549711e+01
1.416000000000000000e+03,8.440420108413952960e-01,1.727137998056365404e+02,1.127055393586005891e+02,9.759232264334305285e+01
1.342000000000000000e+03,8.418011135654687171e-01,1.823932167461579184e+02,1.194621091679915139e+02,1.020821409644939024e+02
1.829500000000000000e+03,8.657965774614165833e-01,1.693498769483182969e+02,1.090541427399507768e+02,8.707916324856439871e+01
