"Area","Roundness","R","G","B"
2.505500000000000000e+03,8.728610679526578320e-01,1.586973840665874036e+02,1.101168252080856149e+02,9.807134363852556191e+01
2.280500000000000000e+03,8.645341750649927492e-01,1.603810532687651289e+02,1.031122881355932179e+02,8.240466101694914869e+01
2.875500000000000000e+03,8.718662846258502519e-01,1.482400731452455602e+02,9.474843260188087868e+01,6.889289446185998145e+01
2.440000000000000000e+03,7.968010766047106674e-01,1.544115138592750611e+02,9.319677124581176031e+01,7.064544623819676872e+01
2.458500000000000000e+03,8.564873021598918834e-01,1.589087878787878765e+02,1.012284848484848538e+02,7.265878787878787648e+01
2.829500000000000000e+03,7.870313737494291084e-01,1.178554275912766514e+02,7.235481499632443558e+01,6.984562607204117057e+01
2.122000000000000000e+03,8.446408736792442307e-01,1.184117250673854471e+02,6.733052560646899565e+01,6.481300539083558476e+01
3.077500000000000000e+03,7.808141372009970160e-01,1.257886575099689850e+02,8.208639787328311854e+01,7.859791758972086484e+01
2.232500000000000000e+03,8.355495264041667980e-01,1.229140818858560777e+02,7.425465260545905721e+01,7.175248138957816479e+01
1.975000000000000000e+03,7.997057346642938436e-01,1.302760000000000105e+02,7.933799999999999386e+01,7.766500000000000625e+01
2.234000000000000000e+03,7.269845744314330505e-01,1.083157894736842053e+02,5.712960526315789167e+01,5.666381578947368070e+01
